KEGG	Cpd	Formula	Mass	Exact Mass	MetaboAnalyst
C07927	Carisoprodol	C12H24N2O4	260.1736	260.173607	Carisoprodol
C07928	Chlorphenesin	C9H11ClO3	202.0397	202.039671	Chlorphenesin
C07930	Chlorphenesin carbamate	C10H12ClNO4	245.0455	245.045485	
C07931	Chlorzoxazone	C7H4ClNO2	168.9931	168.993056	Chlorzoxazone
C07933	Dantrolene sodium anhydrous	C14H9N4O5. Na	336.0471	336.047063	
C07934	Metaxalone	C12H15NO3	221.1052	221.105193	Metaxalone
C07935	Orphenadrine	C18H23NO	269.178	269.177964	Orphenadrine
C07937	Riluzole	C8H5F3N2OS	234.0075	234.007468	Riluzole
C07939	Amantadine hydrochloride	C10H17N. HCl	187.1128	187.112777	
C07941	Biperiden	C21H29NO	311.2249	311.224914	Biperiden
C07943	Entacapone	C14H15N3O5	305.1012	305.10117	Entacapone
C07946	Botulinum toxin type A				
C07949	Tolcapone	C14H11NO5	273.0637	273.063722	Tolcapone
C07952	Chlorpromazine hydrochloride	C17H19ClN2S. HCl	354.0724	354.072425	
C07953	Chlorprothixene	C18H18ClNS	315.0848	315.084848	Chlorprothixene
C07955	Fluphenazine enanthate	C29H38F3N3O2S	549.2637	549.263683	
C07956	Fluphenazine depot	C32H44F3N3O2S	591.3106	591.310633	
C07964	Lithium carbonate	Li2CO3	74.0168	74.01675	
C07965	Tirofiban	C22H36N2O5S	440.2345	440.234493	Tirofiban
C07966	Cerivastatin	C26H34FNO5	459.2421	459.242101	Cerivastatin
C07967	Bithionol	C12H6Cl4O2S	353.8843	353.884261	
C07968	Diethylcarbamazine	C10H21N3O	199.1685	199.168462	Diethylcarbamazine
C07971	Metrifonate	C4H8Cl3O4P	255.9226	255.922578	
C07973	Piperazine	C4H10N2	86.0844	86.084398	Piperazine
C07974	Suramin	C51H40N6O23S6	1296.0469	1296.046908	Suramin
C07982	Imipramine hydrochloride	C19H24N2. HCl	316.1706	316.170626	
C07995	Magnesium salicylate	C14H10MgO6	298.0328	298.032779	Magnesium salicylate
C07996	Dehydroemetine	C29H38N2O4	478.2832	478.283157	
C07997	Eflornithine	C6H12F2N2O2	182.0867	182.086683	
C07999	Furazolidone	C8H7N3O5	225.0386	225.03857	Furazolidone
C08001	Melarsoprol	C12H15AsN6OS2	397.9965	397.996471	
C08002	Nifurtimox	C10H13N3O5S	287.0576	287.057591	
C08005	Alfentanil	C21H32N6O3	416.2536	416.253588	Alfentanil
C08007	Buprenorphine	C29H41NO4	467.3036	467.303558	Buprenorphine
C08010	Dezocine	C16H23NO	245.178	245.177964	Dezocine
C08012	Levomethadyl acetate	C23H31NO2	353.2355	353.235479	Levomethadyl Acetate
C08014	Levorphanol	C17H23NO	257.178	257.177964	Levorphanol
C08018	Oxycodone	C18H21NO4	315.1471	315.147058	Oxycodone
C08019	Oxymorphone	C17H19NO4	301.1314	301.131408	Oxymorphone
C08021	Remifentanil	C20H28N2O5	376.1998	376.199822	Remifentanil
C08022	Sufentanil	C22H30N2O2S	386.2028	386.202799	Sufentanil
C08024	Hydrocodone	C18H21NO3	299.1521	299.152143	Hydrocodone
C08026	Oxycodone hydrochloride	C18H21NO4. HCl	351.1237	351.123735	
C08027	Nalmefene	C21H25NO3	339.1834	339.183443	
C08029	Methacycline hydrochloride	C22H22N2O8. HCl	478.1143	478.114293	
C08031	Erythromycin estolate	C40H71NO14. C12H26O4S	1055.6426	1055.642636	Erythromycin estolate
C08032	Quinupristin	C53H67N9O10S	1021.4732	1021.47316	Quinupristin
C08033	Dalfopristin	C34H50N4O9S	690.3299	690.32985	Dalfopristin
C08034	Quinupristin-dalfopristin	C53H67N9O10S. C34H50N4O9S	1711.803	1711.80301	
C08037	Benzalkonium chloride	C9H13NR. Cl			
C08038	Chlorhexidine gluconate	C22H30Cl2N10. (C6H12O7)2	896.3198	896.319801	
C08039	Hexachlorophene	C13H6Cl6O2	403.8499	403.849895	Hexachlorophene
C08040	Iodine aqueous	KI3	419.6771	419.677122	
C08042	Nitrofurazone	C6H6N4O4	198.0389	198.038904	Nitrofurazone
C08043	Povidone-iodine	xI2. (C6H9NO)n			
C08046	Kanamycin sulfate	C18H36N4O11. H2SO4	582.2054	582.205437	
C08050	Sulfamethizole	C9H10N4O2S2	270.0245	270.024517	Sulfamethizole
C08051	Sulfacetamide sodium anhydrous	C8H9N2O3S. Na	236.0232	236.023157	
C08052	Cinoxacin	C12H10N2O5	262.059	262.058971	Cinoxacin
C08053	Lomefloxacin hydrochloride	C17H19F2N3O3. HCl	387.1161	387.116125	
C08054	Moxifloxacin hydrochloride	C21H24FN3O4. HCl	437.1518	437.151762	
C08055	Aminosalicylate sodium anhydrous	C7H6NO3. Na	175.0245	175.024537	
C08057	Cycloserine	C3H6N2O2	102.0429	102.042927	Cycloserine
C08059	Rifapentine	C47H64N4O12	876.4521	876.452073	
C08060	Carbazole	C12H9N	167.0735	167.073499	Carbazole
C08061	2'-Aminobiphenyl-2,3-diol	C12H11NO2	201.079	201.078978	2'-Aminobiphenyl-2,3-diol
C08062	2-Hydroxy-6-oxo-(2'-aminophenyl)-hexa-2,4-dienoate	C12H11NO4	233.0688	233.068807	2-Hydroxy-6-oxo-(2'-aminophenyl)-hexa-2,4-dienoate
C08063	1,4-Cyclohexanedione	C6H8O2	112.0524	112.052429	1,4-Cyclohexanedione
C08064	Saponarin	C27H30O15	594.1585	594.15847	
C08065	Butoconazole	C19H17Cl3N2S	410.0178	410.017802	Butoconazole
C08066	Butoconazole nitrate	C19H17Cl3N2S. HNO3	473.0134	473.013445	
C08067	Butenafine	C23H27N	317.2144	317.214349	Butenafine
C08068	Econazole	C18H15Cl3N2O	380.025	380.024996	Econazole nitrate
C08069	Econazole nitrate	C18H15Cl3N2O. HNO3	443.0206	443.020639	
C08070	Miconazole nitrate	C18H14Cl4N2O. HNO3	476.9817	476.981666	Miconazole nitrate
C08071	Naftifine	C21H21N	287.1674	287.167399	Naftifine
C08072	Naftifine hydrochloride	C21H21N. HCl	323.1441	323.144077	
C08073	Natamycin	C33H47NO13	665.3047	665.30474	Natamycin
C08074	Oxiconazole	C18H13Cl4N3O	426.9813	426.981272	
C08075	Oxiconazole nitrate	C18H13Cl4N3O. HNO3	489.9769	489.976915	Oxiconazole nitrate
C08076	Sulconazole	C18H15Cl3N2S	396.0022	396.002152	
C08079	Terbinafine	C21H25N	291.1987	291.198699	Terbinafine
C08080	Terconazole	C26H31Cl2N5O3	531.1804	531.180395	Terconazole
C08082	Tioconazole	C16H13Cl3N2OS	385.9814	385.981417	Tioconazole
C08086	Amprenavir	C25H35N3O6S	505.2247	505.224657	Amprenavir
C08087	Delavirdine mesylate	C22H28N6O3S. CH4SO3	552.1825	552.182475	
C08088	Efavirenz	C14H9ClF3NO2	315.0274	315.02739	Efavirenz
C08089	Indinavir sulfate	C36H47N5O4. H2SO4	711.3302	711.330184	
C08090	Dienestrol	C18H18O2	266.1307	266.130679	Dienestrol
C08091	Nelfinavir mesylate	C32H45N3O4S. CH4SO3	663.3012	663.301193	
C08092	Oseltamivir	C16H28N2O4	312.2049	312.204907	Oseltamivir
C08093	Oseltamivir phosphate	C16H28N2O4. H3PO4	410.1818	410.181802	
C08094	Rimantadine hydrochloride	C12H21N. HCl	215.1441	215.144077	
C08095	Zanamivir	C12H20N4O7	332.1332	332.133198	Zanamivir
C08098	Cefazolin sodium	C14H13N8O4S3. Na	476.012	476.011958	
C08099	Cephalexin monohydrate	C16H17N3O4S. H2O	365.1045	365.104541	
C08100	Cephalothin sodium	C16H15N2O6S2. Na	418.0269	418.026922	
C08101	Cephapirin sodium	C17H16N3O6S2. Na	445.0378	445.037821	
C08102	Cefamandole nafate	C19H17N6O6S2. Na	512.0549	512.054868	
C08103	Cefmetazole	C15H17N7O5S3	471.0453	471.04533	Cefmetazole
C08104	Cefmetazole sodium	C15H16N7O5S3. Na	493.0273	493.027274	
C08105	Cefonicid sodium	C18H16N6O8S3. 2Na	585.9987	585.998713	
C08106	Cefoxitin sodium	C16H16N3O7S2. Na	449.0327	449.032736	
C08107	Cefuroxime axetil	C20H22N4O10S	510.1057	510.105664	
C08108	Cefuroxime sodium	C16H15N4O8S. Na	446.0508	446.050828	
C08109	Loracarbef monohydrate	C16H16ClN3O4. H2O	367.0935	367.093498	Loracarbef
C08110	Cefdinir	C14H13N5O5S2	395.0358	395.03581	Cefdinir
C08111	Cefepime	C19H24N6O5S2	480.125	480.12496	Cefepime
C08112	Cefoperazone sodium	C25H26N9O8S2. Na	667.1243	667.124345	
C08113	Cefotaxime sodium	C16H16N5O7S2. Na	477.0389	477.038884	
C08114	Cefpodoxime	C15H17N5O6S2	427.062	427.062025	Cefpodoxime proxetil
C08115	Cefpodoxime proxetil	C21H27N5O9S2	557.125	557.125019	
C08117	Ceftibuten	C15H14N4O6S2	410.0355	410.035476	Ceftibuten
C08118	Ceftizoxime sodium	C13H12N5O5S2. Na	405.0178	405.017755	
C08122	Bacampicillin	C21H27N3O7S	465.157	465.156971	Bacampicillin
C08123	Bacampicillin hydrochloride	C21H27N3O7S. HCl	501.1336	501.133649	
C08124	Nafcillin sodium	C21H21N2O5S. Na	436.1069	436.106887	
C08126	Penicillin V	C16H18N2O5S	350.0936	350.093642	Penicillin V
C08127	Paricalcitol	C27H44O3	416.329	416.329045	Paricalcitol
C08129	Calcium carbonate	CaCO3	99.9473	99.947334	
C08130	Calcium chloride anhydrous	CaCl2	109.9003	109.900296	
C08133	Calcium gluconate	(C6H11O7)2. Ca	430.0635	430.063546	
C08136	Tricalcium phosphate	Ca3(PO4)2	309.7946	309.794613	
C08141	Tiludronic acid	C7H9ClO6P2S	317.9284	317.92836	Tiludronate
C08142	Sodium fluoride	NaF	41.9882	41.988172	
C08145	Diethylstilbestrol diphosphate	C18H22O8P2	428.079	428.078991	
C08146	Linezolid	C16H20FN3O4	337.1438	337.143784	Linezolid
C08148	Hydroxyprogesterone caproate	C27H40O4	428.2927	428.292659	
C08149	Levonorgestrel	C21H28O2	312.2089	312.20893	
C08150	Medroxyprogesterone acetate	C24H34O4	386.2457	386.245709	
C08151	Megestrol acetate	C24H32O4	384.2301	384.230059	
C08152	Norethindrone acetate	C22H28O3	340.2038	340.203844	
C08153	Norgestrel	C21H28O2	312.2089	312.20893	Levonorgestrel
C08154	Nandrolone decanoate	C28H44O3	428.329	428.329045	Nandrolone decanoate
C08155	Nandrolone phenpropionate	C27H34O3	406.2508	406.250794	Nandrolone phenpropionate
C08156	Testosterone cypionate	C27H40O3	412.2977	412.297745	Testosterone cypionate
C08157	Testosterone enanthate	C26H40O3	400.2977	400.297745	Testosterone enanthate
C08158	Testosterone propionate	C22H32O3	344.2351	344.235144	Testosterone Propionate
C08159	Anastrozole	C17H19N5	293.164	293.164045	Anastrozole
C08160	Bicalutamide	C18H14F4N2O4S	430.061	430.06104	Bicalutamide
C08161	Clomiphene citrate	C26H28ClNO. C6H8O7	597.2129	597.212944	
C08162	Exemestane	C20H24O2	296.1776	296.17763	Exemestane
C08163	Letrozole	C17H11N5	285.1014	285.101445	Letrozole
C08164	Nilutamide	C12H10F3N3O4	317.0623	317.06234	Nilutamide
C08166	Toremifene	C26H28ClNO	405.1859	405.185942	Toremifene
C08169	Meloxicam	C14H13N3O4S2	351.0347	351.034748	Meloxicam
C08171	Sodium thiosalicylate	C7H5O2S. Na	175.9908	175.990794	
C08173	Cortisone acetate	C23H30O6	402.2042	402.204238	Cortisone acetate
C08174	Dexamethasone acetate anhydrous	C24H31FO6	434.2105	434.210466	
C08175	Dexamethasone sodium phosphate	C22H28FO8P. 2Na	516.1301	516.130121	
C08176	Hydrocortisone cypionate	C29H42O6	486.2981	486.298139	Hydrocortisone cypionate
C08178	Hydrocortisone sodium succinate	C25H33O8. Na	484.2073	484.207312	
C08179	Methylprednisolone acetate	C24H32O6	416.2199	416.219888	
C08180	Prednisolone acetate	C23H30O6	402.2042	402.204238	
C08182	Prednisolone tebutate	C27H38O6	458.2668	458.266838	
C08183	Triamcinolone acetonide	C24H31FO6	434.2105	434.210466	
C08184	Triamcinolone diacetate	C25H31FO8	478.2003	478.200296	
C08185	Triamcinolone hexacetonide	C30H41FO7	532.2836	532.283631	
C08186	Fludrocortisone acetate	C23H31FO6	422.2105	422.210466	
C08187	Cabergoline	C26H37N5O2	451.2947	451.294725	Cabergoline
C08193	Aurothioglucose	C6H11AuO5S	391.9993	391.999288	
C08195	Meclofenoxate	C12H16ClNO3	257.0819	257.081871	
C08197	Neostigmine bromide	C12H19N2O2. Br	302.063	302.06299	
C08200	Neostigmine methylsulfate	C12H19N2O2. CH3SO4	334.1199	334.119857	
C08201	Acetylcholine chloride	C7H16NO2. Cl	181.087	181.086956	
C08202	Bethanechol chloride	C7H17N2O2. Cl	196.0979	196.097855	
C08211	Doxercalciferol	C28H44O2	412.3341	412.33413	1alpha-hydroxyvitamin D2 / 1alpha-hydroxyergocalciferol
C08212	Levothyroxine sodium anhydrous	C15H10I4NO4. Na	798.6686	798.668639	
C08215	Thyroid				
C08217	Iopanoic acid	C11H12I3NO2	570.8002	570.800219	
C08219	Potassium iodide	KI	165.8682	165.868178	
C08230	Hydroxocobalamin	C62H89CoN13O15P	1345.5671	1345.567065	Hydroxycobalamin
C08233	Risedronic acid	C7H11NO7P2	283.0011	283.001075	Risedronate
C08234	beta-Cymaropyranose	C7H14O4	162.0892	162.089208	
C08235	Digitalose	C7H14O5	178.0841	178.084123	
C08236	alpha-D-Mannoheptulopyranose	C7H14O7	210.074	210.073952	D-Manno-2-heptulose
C08237	Oleandrose	C7H14O4	162.0892	162.089208	
C08238	alpha-Galactosyl-(1-6)-alpha-galactosyl-(1-6)-alpha-galactosyl-(1-6)-alpha-galactosyl-(1-6)-alpha-glucosyl-(1-2)-beta-fructose	C36H62O31	990.3275	990.327505	
C08239	Gentianose	C18H32O16	504.169	504.169034	Gentianose
C08240	Gentiobiose	C12H22O11	342.1162	342.116211	
C08241	Sodium 2-O-L-rhamnopyranosyl-4-deoxy-alpha-L-threo-hex-4-eno-pyranosiduronate	C12H17O10. Na	344.0719	344.071941	
C08242	Lychnose	C24H42O21	666.2219	666.221858	
C08243	Melezitose	C18H32O16	504.169	504.169034	Melezitose
C08244	2-O-alpha-L-Rhamnopyranosyl-D-glucopyranose	C12H22O10	326.1213	326.121296	Neohesperidose
C08245	6-O-beta-D-Xylopyranosyl-D-glucose	C11H20O10	312.1056	312.105646	
C08246	Robinobiose	C12H22O10	326.1213	326.121296	
C08247	Rutinose	C12H22O10	326.1213	326.121296	
C08248	Sesamose	C24H42O21	666.2219	666.221858	Sesamose
C08249	Pyrimidine 5'-deoxynucleotide	C9H14N2O6P	277.0589	277.058948	
C08250	Sophorose	C12H22O11	342.1162	342.116211	
C08251	Umbelliferose	C18H32O16	504.169	504.169034	Umbelliferose
C08252	Verbascose	C30H52O26	828.2747	828.274681	
C08253	Fucoidan	(C12H18O14S2)n. (C6H9O7S)n			
C08254	Clusianose	C12H24O11	344.1319	344.131861	
C08255	Perseitol	C7H16O7	212.0896	212.089602	Perseitol
C08257	(-)-Quebrachitol	C7H14O6	194.079	194.079038	L-Quebrachitol
C08258	(+)-Quercitol	C6H12O5	164.0685	164.068473	
C08259	(-)-Viburnitol	C6H12O5	164.0685	164.068473	
C08260	Volemitol	C7H16O7	212.0896	212.089602	
C08261	Azelaic acid	C9H16O4	188.1049	188.104858	Azelaic acid
C08262	3-Methylbutanoic acid	C5H10O2	102.0681	102.068079	Isovaleric acid
C08263	beta-Alaninebetaine	C6H13NO2	131.0946	131.094628	
C08264	L-Albizziine	C4H9N3O3	147.0644	147.064391	
C08265	Alliin	C6H11NO3S	177.046	177.045964	(R)C(S)S-Alliin
C08266	L-alpha-Amino-gamma-oxalylaminobutyric acid	C6H10N2O5	190.059	190.058971	
C08267	L-Azetidine 2-carboxylic acid	C4H7NO2	101.0477	101.047678	
C08268	L-Baikiain	C6H9NO2	127.0633	127.063328	
C08269	(-)-Betonicine	C7H13NO3	159.0895	159.089543	Betonicine
C08270	L-Canaline	C4H10N2O3	134.0691	134.069142	L-Canaline
C08271	Coprine	C8H14N2O4	202.0954	202.095356	L-Coprine
C08272	Kinetin	C10H9N5O	215.0807	215.080709	Kinetin
C08273	2,5-Dihydrophenylalanine	C9H13NO2	167.0946	167.094628	
C08275	L-Djenkolic acid	C7H14N2O4S2	254.0395	254.039499	
C08276	3-(Methylthio)propanoate	C4H8O2S	120.0245	120.0245	3-Methylthiopropionic acid
C08277	Sebacic acid	C10H18O4	202.1205	202.120509	Sebacic acid
C08278	Suberic acid	C8H14O4	174.0892	174.089208	Suberic acid
C08279	Tiglic acid	C5H8O2	100.0524	100.052429	Tiglic acid
C08280	Hypoglycin B	C12H18N2O5	270.1216	270.121571	Hypoglycin B
C08281	Docosanoic acid	C22H44O2	340.3341	340.33413	Behenic acid
C08282	Chaulmoogric acid	C18H32O2	280.2402	280.24023	2-Cyclopentene-1S-tridecanoic acid
C08283	Homostachydrine	C8H15NO2	157.1103	157.110278	(S)-Homostachydrine
C08284	gamma-Hydroxy-L-arginine	C6H14N4O3	190.1066	190.10659	L-erythro-4-Hydroxyarginine
C08285	10,16-Dihydroxyhexadecanoic acid	C16H32O4	288.2301	288.230059	(S)-10,16-Dihydroxyhexadecanoic acid
C08286	(+)-gamma-Hydroxy-L-homoarginine	C7H16N4O3	204.1222	204.12224	
C08287	Hypoglycin	C7H11NO2	141.079	141.078978	L-Hypoglycin A
C08288	Indospicine	C7H15N3O2	173.1164	173.116426	
C08289	Isowillardiine	C7H9N3O4	199.0593	199.059305	(S)-Isowillardiine
C08290	Lathyrine	C7H10N4O2	182.0804	182.080375	
C08291	3-Methylamino-L-alanine	C4H10N2O2	118.0742	118.074227	
C08292	alpha-(Methylenecyclopropyl)glycine	C6H9NO2	127.0633	127.063328	
C08294	O-Oxalylhomoserine	C6H9NO6	191.043	191.042987	
C08295	S-[(E)-Prop-1-enyl]-L-cysteine S-oxide	C6H11NO3S	177.046	177.045964	Isoalliin
C08296	Quisqualic acid	C5H7N3O5	189.0386	189.03857	
C08298	Tricholomic acid	C5H8N2O4	160.0484	160.048406	Tricholomic acid
C08299	Bufotenine	C12H16N2O	204.1263	204.126263	Bufotenin
C08300	D-Cathine	C9H13NO	151.0997	151.099714	D-Cathine
C08301	D-Cathinone	C9H11NO	149.0841	149.084063	D-Cathinone
C08302	N,N-Dimethyltryptamine	C12H16N2	188.1313	188.131348	Dimethyltryptamine
C08303	Galegine	C6H13N3	127.1109	127.110947	
C08304	Gramine	C11H14N2	174.1157	174.115698	3-(Dimethylaminomethyl)indole
C08305	Gyromitrin	C4H8N2O	100.0637	100.063662	Gyromitrin
C08306	Hexylamine	C6H15N	101.1204	101.120449	Hexylamine
C08307	Hordatine A	C28H38N8O4	550.3016	550.301601	Hordatine A
C08308	Hordatine B	C29H40N8O5	580.3122	580.312166	Hordatine B
C08309	N,N-Dimethyl-5-methoxytryptamine	C13H18N2O	218.1419	218.141913	5-Methoxydimethyltryptamine
C08310	N-Methylmescaline	C12H19NO3	225.1365	225.136493	
C08311	Muscimol	C4H6N2O2	114.0429	114.042927	
C08312	Psilocin	C12H16N2O	204.1263	204.126263	Psilocin
C08313	Skatole	C9H9N	131.0735	131.073499	3-Methylindole
C08314	(9R,10R)-Dihydroxyoctadecanoic acid	C18H36O4	316.2614	316.261359	threo-9,10-Dihydroxystearic acid
C08315	(9Z,11E,13E)-Octadecatrienoic acid	C18H30O2	278.2246	278.22458	alpha-eleostearic acid
C08316	Erucic acid	C22H42O2	338.3185	338.31848	Erucic acid
C08317	12-Hydroxydodecanoic acid	C12H24O3	216.1725	216.172544	Sabinic acid
C08318	(9Z,12Z)-(8R)-Hydroxyoctadeca-9,12-dienoic acid	C18H32O3	296.2351	296.235144	8R-HODE
C08319	alpha-Licanic acid	C18H28O3	292.2038	292.203844	alpha-Licanic acid
C08320	Tetracosanoic acid	C24H48O2	368.3654	368.36543	Tetracosanoic acid
C08321	Malvalic acid	C18H32O2	280.2402	280.24023	Malvalic acid
C08322	Myristoleic acid	C14H26O2	226.1933	226.19328	Myristoleic acid
C08323	(15Z)-Tetracosenoic acid	C24H46O2	366.3498	366.34978	Nervonic acid
C08324	Acalyphin	C14H20N2O9	360.1169	360.11688	
C08325	Amygdalin	C20H27NO11	457.1584	457.15841	Amygdalin
C08326	Anthemis glycoside A	C39H49NO21	867.2797	867.279707	
C08327	Anthemis glycoside B	C34H41NO17	735.2374	735.237448	
C08328	Cardiospermin	C11H17NO7	275.1005	275.100501	
C08329	Deidaclin	C12H17NO6	271.1056	271.105587	
C08330	p-Glucosyloxymandelonitrile	C14H17NO7	311.1005	311.100501	
C08331	Gynocardin	C12H17NO8	303.0954	303.095416	Gynocardin
C08332	Heterodendrin	C11H19NO6	261.1212	261.121237	
C08333	Linustatin	C16H27NO11	409.1584	409.15841	
C08334	Lotaustralin	C11H19NO6	261.1212	261.121237	Lotaustralin
C08335	Lucumin	C19H25NO10	427.1478	427.147846	Vicianin
C08336	Neolinustatin	C17H29NO11	423.1741	423.17406	Neolinustatin
C08337	Proacaciberin	C16H25NO10	391.1478	391.147846	
C08338	Proacacipetalin	C11H17NO6	259.1056	259.105587	
C08339	Proteacin	C20H27NO12	473.1533	473.153325	
C08340	Sarmentosin	C11H17NO7	275.1005	275.100501	Sarmentosin
C08341	Sarmentosin epoxide	C11H17NO8	291.0954	291.095416	
C08342	Triglochinin	C14H17NO10	359.0852	359.085245	Triglochinin
C08344	Volkenin	C12H17NO7	287.1005	287.100501	
C08345	Zierin	C14H17NO7	311.1005	311.100501	
C08346	beta-D-Apiose	C5H10O5	150.0528	150.052823	
C08347	2-Deoxy-alpha-D-ribopyranose	C5H10O4	134.0579	134.057908	
C08348	Galacturonic acid	C6H10O7	194.0427	194.042652	Galacturonic acid
C08349	beta-D-Glucosamine	C6H13NO5	179.0794	179.079372	beta-D-Glucosamine
C08350	beta-D-Glucopyranuronic acid	C6H10O7	194.0427	194.042652	
C08351	beta-D-Hamamelopyranose	C6H12O6	180.0634	180.063388	
C08352	Quinovose	C6H12O5	164.0685	164.068473	
C08353	beta-D-Ribopyranose	C5H10O5	150.0528	150.052823	Beta-D-ribopyranose
C08354	alpha-D-Ribulose	C5H10O5	150.0528	150.052823	
C08355	beta-D-Sedoheptulopyranose	C7H14O7	210.074	210.073952	Sedoheptulose
C08356	alpha-L-Sorbopyranose	C6H12O6	180.0634	180.063388	L-Sorbose
C08357	Estradiol-17beta 3-sulfate	C18H24O5S	352.1344	352.134445	Estradiol-17beta 3-sulfate
C08358	2-Methoxyestrone 3-sulfate	C19H24O6S	380.1294	380.129359	2-Methoxyestrone 3-sulfate
C08359	2-Methoxyestradiol-17beta 3-sulfate	C19H26O6S	382.145	382.145009	2-Methoxyestradiol-17beta 3-sulfate
C08362	(9Z)-Hexadecenoic acid	C16H30O2	254.2246	254.22458	Palmitoleic acid
C08363	(6Z)-Octadecenoic acid	C18H34O2	282.2559	282.25588	Petroselinic acid
C08364	Punicic acid	C18H30O2	278.2246	278.22458	Punicic acid
C08365	Ricinoleic acid	C18H34O3	298.2508	298.250794	Ricinoleic acid
C08366	Sterculic acid	C19H34O2	294.2559	294.25588	Sterculic acid
C08367	(11E)-Octadecenoic acid	C18H34O2	282.2559	282.25588	Vaccenic acid
C08368	Vernolic acid	C18H32O3	296.2351	296.235144	12S,13R-EpOME
C08369	Diallyl disulfide	C6H10S2	146.0224	146.022392	Di-2-propenyl disulfide, 9CI
C08370	Diallyl sulfide	C6H10S	114.0503	114.050321	Di-2-propenyl sulfide
C08371	Dimethyl disulfide	C2H6S2	93.9911	93.991092	Dimethyldisulfide
C08372	Dimethyl trisulfide	C2H6S3	125.9632	125.963163	Dimethyl trisulfide
C08373	Dipropyl disulfide	C6H14S2	150.0537	150.053692	Dipropyl disulfide
C08374	Dodecane	C12H26	170.2035	170.20345	Capsicoside E
C08375	(3Z,6Z,9Z)-3,6,9-Dodecatrien-1-ol	C12H20O	180.1514	180.151415	(3Z,6Z,9Z)-dodecatrienol
C08376	Hentriacontane	C31H64	436.5008	436.500802	Hentriacontane
C08377	14,16-Hentriacontanedione	C31H60O2	464.4593	464.459331	hentriacontane-14,16-dione
C08378	Hentriacontan-1-ol	C31H64O	452.4957	452.495716	hentriacontan-1-ol
C08379	Hentriacontan-16-one	C31H62O	450.4801	450.480066	Palmitone
C08380	2-Heptanone	C7H14O	114.1045	114.104465	heptan-2-one
C08381	Hexacosan-1-ol	C26H54O	382.4175	382.417466	Ceryl alcohol
C08382	Lenthionine	C2H4S5	187.8917	187.891656	Lenthionine
C08383	Methyl allyl disulfide	C4H8S2	120.0067	120.006742	Methyl 2-propenyl disulfide
C08384	Nonacosane	C29H60	408.4695	408.469501	Nonacosane
C08385	(10S)-Nonacosan-10-ol	C29H60O	424.4644	424.464416	(S)-nonacosan-10-ol
C08386	Nonacosan-10-one	C29H58O	422.4488	422.448766	nonacosan-10-one
C08387	Octacosan-1-ol	C28H58O	410.4488	410.448766	1-Octacosanol
C08388	Pentadecane	C15H32	212.2504	212.250401	pentadecane
C08389	Propanethial S-oxide	C3H6OS	90.0139	90.013935	Thial-1-Propene-1-thiol S-oxide
C08390	Propane-1-thiol	C3H8S	76.0347	76.034671	1-Propanethiol
C08391	Propane-2-thiol	C3H8S	76.0347	76.034671	2-Propanethiol
C08392	Triacontan-1-ol	C30H62O	438.4801	438.480066	Melissyl alcohol
C08393	Tritriacontane	C33H68	464.5321	464.532102	Tritriacontane
C08394	Tritriacontane-16,18-dione	C33H64O2	492.4906	492.490631	tritriacontane-16,18-dione
C08395	Aethusin	C13H14	170.1096	170.10955	
C08396	Anacyclin	C18H25NO	271.1936	271.193614	Anacyclin
C08397	5-(3-Buten-1-ynyl)-2,2'-bithiophene	C12H8S2	216.0067	216.006742	5-(but-3-en-1-yn-1-yl)-2,2'-bithiophene
C08398	Capillin	C12H8O	168.0575	168.057514	Capillin
C08399	Carlina oxide	C13H10O	182.0732	182.073164	
C08400	Glucoalyssin	C13H25NO10S3	451.0641	451.064059	
C08401	Glucoberteroin	C13H25NO9S3	435.0691	435.069144	Glucoberteroin
C08402	Cicutoxin	C17H22O2	258.162	258.161979	CICUTOXIN
C08403	Glucobrassicanapin	C12H21NO9S2	387.0658	387.065773	Glucobrassicanapin
C08404	Glucocapparin	C8H15NO9S2	333.0188	333.018823	Methyl glucosinolate
C08405	Glucocheirolin	C11H21NO11S3	439.0277	439.027674	
C08406	Glucocleomin	C12H23NO10S2	405.0763	405.076338	
C08407	Glucocochlearin	C11H21NO9S2	375.0658	375.065773	Glucocochlearin
C08408	Glucoconringiin	C11H21NO10S2	391.0607	391.060688	
C08409	Glucoerucin	C12H23NO9S3	421.0535	421.053494	Glucoerucin
C08410	Glucoerysolin	C12H23NO11S3	453.0433	453.043324	
C08411	Glucoiberin	C11H21NO10S3	423.0328	423.032759	Glucoiberin
C08412	Glucoiberverin	C11H21NO9S3	407.0378	407.037844	Glucoiberverin
C08413	Glucolepidiin	C9H17NO9S2	347.0345	347.034473	
C08414	Glucolimnanthin	C15H21NO10S2	439.0607	439.060688	
C08415	Gluconapin	C11H19NO9S2	373.0501	373.050123	Gluconapin
C08416	Gluconapoleiferin	C12H21NO10S2	403.0607	403.060688	
C08417	Gluconasturtiin	C15H21NO9S2	423.0658	423.065773	Gluconasturtiin
C08418	Glucoputranjivin	C10H19NO9S2	361.0501	361.050123	Glucoputranjivin
C08419	Glucoraphanin	C12H23NO10S3	437.0484	437.048409	Glucoraphanin
C08420	Glucoraphenin	C12H21NO10S3	435.0328	435.032759	
C08422	4-Hydroxyglucobrassicin	C16H20N2O10S2	464.0559	464.055937	
